hierarchy_code,channel,year,week_num,expected_sales_units,oo_placed
70001,Ecom,2026,30,60,40
70001,Ecom,2026,31,60,40
70001,Ecom,2026,32,60,40
70001,Ecom,2026,33,60,40
70001,Ecom,2026,34,60,40
70001,Ecom,2026,35,60,40
70001,Ecom,2026,36,60,40
70001,Ecom,2026,37,60,40
70001,Ecom,2026,38,60,40
70001,Ecom,2026,39,60,40
70001,Ecom,2026,40,60,40
70001,Indirect,2026,30,60,40
70001,Indirect,2026,31,60,40
70001,Indirect,2026,32,60,40
70001,Indirect,2026,33,60,40
70001,Indirect,2026,34,60,40
70001,Indirect,2026,35,60,40
70001,Indirect,2026,36,60,40
70001,Indirect,2026,37,60,40
70001,Indirect,2026,38,60,40
70001,Indirect,2026,39,60,40
70001,Indirect,2026,40,60,40
70001,Store,2026,30,60,40
70001,Store,2026,31,60,40
70001,Store,2026,32,60,40
70001,Store,2026,33,60,40
70001,Store,2026,34,60,40
70001,Store,2026,35,60,40
70001,Store,2026,36,60,40
70001,Store,2026,37,60,40
70001,Store,2026,38,60,40
70001,Store,2026,39,60,40
70001,Store,2026,40,60,40
70002,Ecom,2026,30,60,40
70002,Ecom,2026,31,60,40
70002,Ecom,2026,32,60,40
70002,Ecom,2026,33,60,40
70002,Ecom,2026,34,60,40
70002,Ecom,2026,35,60,40
70002,Ecom,2026,36,60,40
70002,Ecom,2026,37,60,40
70002,Ecom,2026,38,60,40
70002,Ecom,2026,39,60,40
70002,Ecom,2026,40,60,40
70002,Indirect,2026,30,60,40
70002,Indirect,2026,31,60,40
70002,Indirect,2026,32,60,40
70002,Indirect,2026,33,60,40
70002,Indirect,2026,34,60,40
70002,Indirect,2026,35,60,40
70002,Indirect,2026,36,60,40
70002,Indirect,2026,37,60,40
70002,Indirect,2026,38,60,40
70002,Indirect,2026,39,60,40
70002,Indirect,2026,40,60,40
70002,Store,2026,30,60,40
70002,Store,2026,31,60,40
70002,Store,2026,32,60,40
70002,Store,2026,33,60,40
70002,Store,2026,34,60,40
70002,Store,2026,35,60,40
70002,Store,2026,36,60,40
70002,Store,2026,37,60,40
70002,Store,2026,38,60,40
70002,Store,2026,39,60,40
70002,Store,2026,40,60,40
70003,Ecom,2026,30,60,40
70003,Ecom,2026,31,60,40
70003,Ecom,2026,32,60,40
70003,Ecom,2026,33,60,40
70003,Ecom,2026,34,60,40
70003,Ecom,2026,35,60,40
70003,Ecom,2026,36,60,40
70003,Ecom,2026,37,60,40
70003,Ecom,2026,38,60,40
70003,Ecom,2026,39,60,40
70003,Ecom,2026,40,60,40
70003,Indirect,2026,30,60,40
70003,Indirect,2026,31,60,40
70003,Indirect,2026,32,60,40
70003,Indirect,2026,33,60,40
70003,Indirect,2026,34,60,40
70003,Indirect,2026,35,60,40
70003,Indirect,2026,36,60,40
70003,Indirect,2026,37,60,40
70003,Indirect,2026,38,60,40
70003,Indirect,2026,39,60,40
70003,Indirect,2026,40,60,40
70003,Store,2026,30,60,40
70003,Store,2026,31,60,40
70003,Store,2026,32,60,40
70003,Store,2026,33,60,40
70003,Store,2026,34,60,40
70003,Store,2026,35,60,40
70003,Store,2026,36,60,40
70003,Store,2026,37,60,40
70003,Store,2026,38,60,40
70003,Store,2026,39,60,40
70003,Store,2026,40,60,40
