hierarchy_code,channel,year,week_num,expected_sales_units,oo_placed
60001,Ecom,2026,25,241,0
60001,Ecom,2026,26,292,0
60001,Ecom,2026,27,240,24
60001,Ecom,2026,28,282,72
60001,Ecom,2026,29,255,72
60001,Ecom,2026,30,233,72
60001,Ecom,2026,31,200,72
60001,Ecom,2026,32,224,72
60001,Ecom,2026,33,187,72
60001,Ecom,2026,34,179,72
60001,Ecom,2026,35,162,72
60001,Ecom,2026,36,181,72
60001,Ecom,2026,37,131,48
60001,Ecom,2026,38,123,48
60001,Ecom,2026,39,129,48
60001,Ecom,2026,40,131,24
60001,Ecom,2026,41,96,24
60001,Ecom,2026,42,89,0
60001,Ecom,2026,43,85,0
60001,Ecom,2026,44,68,0
60001,Ecom,2026,45,59,0
60001,Ecom,2026,46,43,0
60001,Ecom,2026,47,40,0
60001,Ecom,2026,48,30,0
60001,Ecom,2026,49,30,0
60001,Ecom,2026,50,26,0
60001,Ecom,2026,51,22,0
60001,Ecom,2026,52,14,0
60001,Ecom,2027,1,18,0
60001,Ecom,2027,2,27,0
60001,Ecom,2027,3,30,0
60001,Ecom,2027,4,35,0
60001,Ecom,2027,5,38,0
60001,Ecom,2027,6,45,24
60001,Ecom,2027,7,60,24
60001,Ecom,2027,8,77,24
60001,Ecom,2027,9,74,24
60001,Ecom,2027,10,72,24
60001,Ecom,2027,11,95,24
60001,Ecom,2027,12,131,24
60001,Ecom,2027,13,107,24
60001,Ecom,2027,14,133,24
60001,Ecom,2027,15,167,24
60001,Ecom,2027,16,153,24
60001,Ecom,2027,17,195,24
60001,Ecom,2027,18,172,24
60001,Ecom,2027,19,233,24
60001,Ecom,2027,20,247,24
60001,Ecom,2027,21,267,24
60001,Ecom,2027,22,196,24
60001,Ecom,2027,23,232,24
60001,Ecom,2027,24,273,24
60001,Ecom,2027,25,241,24
60001,Ecom,2027,26,292,24
60001,Ecom,2027,27,240,24
60001,Ecom,2027,28,282,24
60001,Ecom,2027,29,255,24
60001,Ecom,2027,30,233,24
60001,Ecom,2027,31,200,24
60001,Ecom,2027,32,224,24
60001,Ecom,2027,33,187,24
60001,Ecom,2027,34,179,24
60001,Ecom,2027,35,162,24
60001,Ecom,2027,36,181,24
60001,Ecom,2027,37,131,24
60001,Ecom,2027,38,123,24
60001,Ecom,2027,39,129,24
60001,Ecom,2027,40,131,24
60001,Ecom,2027,41,96,0
60001,Ecom,2027,42,89,0
60001,Ecom,2027,43,85,0
60001,Ecom,2027,44,68,0
60001,Ecom,2027,45,59,0
60001,Ecom,2027,46,43,0
60001,Ecom,2027,47,40,0
60001,Ecom,2027,48,30,0
60001,Ecom,2027,49,30,0
60001,Ecom,2027,50,26,0
60001,Ecom,2027,51,22,0
60001,Ecom,2027,52,14,0
60001,Ecom,2028,1,18,0
60001,Ecom,2028,2,27,0
60001,Ecom,2028,3,30,0
60001,Ecom,2028,4,35,0
60001,Ecom,2028,5,38,0
60001,Ecom,2028,6,45,24
60001,Ecom,2028,7,60,24
60001,Ecom,2028,8,77,24
60001,Ecom,2028,9,74,24
60001,Ecom,2028,10,72,24
60001,Ecom,2028,11,95,24
60001,Ecom,2028,12,131,24
60001,Ecom,2028,13,107,24
60001,Ecom,2028,14,133,24
60001,Ecom,2028,15,167,24
60001,Ecom,2028,16,153,24
60001,Ecom,2028,17,195,24
60001,Ecom,2028,18,172,24
60001,Ecom,2028,19,233,24
60001,Ecom,2028,20,247,24
60001,Ecom,2028,21,267,24
60001,Ecom,2028,22,196,24
60001,Ecom,2028,23,232,24
60001,Ecom,2028,24,273,24
60001,Ecom,2028,25,241,24
60001,Ecom,2028,26,292,24
60001,Ecom,2028,27,240,24
60001,Ecom,2028,28,282,24
60001,Ecom,2028,29,255,24
60001,Ecom,2028,30,233,24
60001,Ecom,2028,31,200,24
60001,Ecom,2028,32,224,24
60001,Ecom,2028,33,187,24
60001,Ecom,2028,34,179,24
60001,Ecom,2028,35,162,24
60001,Ecom,2028,36,181,24
60001,Ecom,2028,37,131,24
60001,Ecom,2028,38,123,24
60001,Ecom,2028,39,129,24
60001,Ecom,2028,40,131,24
60001,Ecom,2028,41,96,0
60001,Ecom,2028,42,89,0
60001,Ecom,2028,43,85,0
60001,Ecom,2028,44,68,0
60001,Ecom,2028,45,59,0
60001,Ecom,2028,46,43,0
60001,Ecom,2028,47,40,0
60001,Ecom,2028,48,30,0
60001,Ecom,2028,49,30,0
60001,Ecom,2028,50,26,0
60001,Ecom,2028,51,22,0
60001,Ecom,2028,52,14,0
60001,Indirect,2026,25,144,0
